Track_Name,Artist_Name,Album_Name,Disc_Number,Track_Number,Track_Duration_(ms),Added_At
In the Backseat,Arcade Fire,Funeral,1,10,380213,2019-08-27T12:45:28Z
Whatever,Oasis,Time Flies... 1994-2009,1,24,380186,2019-04-25T18:32:43Z
1999,Prince,1999,1,1,379266,2019-08-12T16:59:46Z
Monster,"Kanye West, JAY-Z, Rick Ross, Nicki Minaj, Bon Iver",My Beautiful Dark Twisted Fantasy,1,6,378893,2019-09-23T16:03:01Z
Sowing The Seeds Of Love,Tears For Fears,The Seeds Of Love,1,3,376733,2019-09-09T22:37:35Z
Wiped Out!,The Neighbourhood,Wiped Out!,1,4,373373,2020-04-06T18:04:11Z
Conrad,Ben Howard,I Forget Where We Were,1,9,368120,2019-04-25T18:13:07Z
Hard Feelings/Loveless,Lorde,Melodrama,1,6,367391,2020-01-09T20:21:31Z
Kernkraft 400 - DJ Gius Mix,Zombie Nation,Kernkraft 400 Single Mixes,1,2,366093,2019-07-06T15:59:01Z
Posthumous Forgiveness,Tame Impala,The Slow Rush,1,4,366066,2020-04-09T14:54:59Z
Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,Off the Wall,1,1,365466,2019-04-25T18:29:14Z
Hell to the Liars,London Grammar,Truth Is a Beautiful Thing (Deluxe),1,5,364506,2019-04-25T18:25:45Z
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),1,9,363521,2019-04-25T18:48:55Z
Let It Be (feat. Veela),"Blackmill, Veela",Miracle,1,3,363433,2019-04-25T18:54:49Z
"New Person, Same Old Mistakes",Tame Impala,Currents,1,13,363240,2019-09-16T10:59:53Z
Wanna Be Startin' Somethin',Michael Jackson,Thriller 25 Super Deluxe Edition,1,1,362373,2019-04-25T18:29:14Z
"So Long, See You Tomorrow",Bombay Bicycle Club,"So Long, See You Tomorrow",1,10,362253,2019-04-25T18:14:12Z
Hold feat. Daniela Andrade - Original Mix,"Dabin, Daniela Andrade",Hold / She Was,1,1,359500,2019-04-25T18:54:49Z
Thriller,Michael Jackson,Scream,1,2,358053,2019-04-25T18:29:14Z
Million Voices,Otto Knows,Million Voices,1,1,357506,2019-04-25T18:48:55Z
Bitter Sweet Symphony,The Verve,Urban Hymns (Remastered 2016),1,1,357266,2019-04-25T22:49:27Z
How To Disappear Completely,Radiohead,Kid A,1,4,356333,2020-04-09T15:26:39Z
Run,Snow Patrol,Final Straw,1,7,354546,2019-04-25T18:38:49Z
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1,9,354520,2019-06-28T12:39:34Z
Bohemian Rhapsody - 2011 Mix,Queen,A Night At The Opera (2011 Remaster),1,11,354320,2019-04-25T22:40:57Z
Lose Yourself to Dance (feat. Pharrell Williams),"Daft Punk, Pharrell Williams",Random Access Memories,1,6,353893,2019-08-12T16:41:15Z
When Doves Cry,Prince,Purple Rain,1,6,352906,2019-08-12T16:59:46Z
Afterlife,Arcade Fire,Reflektor,2,5,352754,2020-05-03T13:39:23Z
The National Anthem,Radiohead,Kid A,1,3,351693,2020-04-09T15:21:42Z
Common People,Pulp,Different Class,1,3,351626,2019-04-25T22:29:03Z
Marilyn Monroe,Pharrell Williams,G I R L,1,1,351600,2019-04-25T19:07:34Z
Paper Planes (DFA Remix),M.I.A.,Paper Planes,1,2,351000,2019-06-07T09:31:46Z
Adeline,alt-J,RELAXER,1,6,350493,2019-12-20T16:33:32Z
"Holding Out for a Hero - From Footloose"" Soundtrack""",Bonnie Tyler,Secret Dreams & Forbidden Fire,1,9,349693,2020-01-04T18:44:28Z
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",1,10,347525,2019-04-25T18:40:17Z
Make This Go On Forever,Snow Patrol,Eyes Open,1,7,345226,2019-04-25T18:11:58Z
Revolution,Robbie Williams,Escapology,1,7,344533,2019-04-25T18:34:57Z
Small Things,Ben Howard,I Forget Where We Were,1,1,343786,2019-04-25T18:13:07Z
